name,ingredients,diet,price,course,region,flavor_profile,calories,protein,carbs,fat,image_url,cooking_tips
Paneer Tikka,"Paneer,Yogurt,Spices,Capsicum,Onion",vegetarian,280.00,starter,North,spicy,250,15,10,15,https://images.unsplash.com/photo-1596797038530-2c107229654b?auto=format&fit=crop&w=500&q=60,"Marinate paneer for at least 2 hours for maximum flavor absorption. Grill on high heat for char."
Amritsari Fish Fry,"Fish,Gram Flour,Spices,Carom Seeds",non-vegetarian,400.00,starter,Punjab,savory,350,25,20,20,https://images.unsplash.com/photo-1626777553634-67bc5d1f185c?auto=format&fit=crop&w=500&q=60,"Double fry the fish: once on medium heat to cook through, then on high heat for crispiness."
Hara Bhara Kebab,"Spinach,Potatoes,Peas,Spices",vegetarian,220.00,starter,North,savory,180,8,25,8,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=500&q=60,"Blanch spinach and squeeze out all water to prevent kebabs from breaking."
Chicken Malai Tikka,"Chicken,Cream,Cashew Paste,Spices",non-vegetarian,380.00,starter,Mughlai,mild,320,20,15,22,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?auto=format&fit=crop&w=500&q=60,"Use hung curd and fresh cream for the silkiest texture. Don't overcook to keep juicy."
Dahi Bhalla,"Lentil Fritters,Yogurt,Tamarind Chutney,Mint Chutney",vegetarian,150.00,starter,North,tangy,120,6,18,4,https://images.unsplash.com/photo-1627375619343-a12da9f9d2a8?auto=format&fit=crop&w=500&q=60,"Soak fried vadas in warm salted water for 20 mins to make them super soft."
Samosa Plate,"Potatoes,Peas,Spices,Flour",vegetarian,80.00,starter,India,savory,150,4,20,7,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=500&q=60,"Fry on low heat for a long time to get the outer crust perfectly crispy and flaky."
Tandoori Gobi,"Cauliflower,Yogurt,Tandoori Masala",vegetarian,250.00,starter,Punjab,smoky,200,10,15,12,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Blanch cauliflower florets before marinating to ensure they cook evenly in the tandoor."
Seekh Kebab,"Minced Mutton,Spices,Onion,Herbs",non-vegetarian,420.00,starter,Mughlai,spicy,280,22,8,18,https://images.unsplash.com/photo-1610057099431-d73a1c9d2f2f?auto=format&fit=crop&w=500&q=60,"Keep the minced meat very cold while mixing to help the fat bind the kebab together."
Butter Chicken,"Chicken,Tomato,Butter,Cream,Spices",non-vegetarian,450.00,main course,Punjab,rich,450,30,15,30,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?auto=format&fit=crop&w=500&q=60,"Add butter and cream at the very end and turn off heat immediately to prevent splitting."
Dal Makhani,"Black Lentils,Kidney Beans,Butter,Cream",vegetarian,220.00,main course,Punjab,savory,300,15,35,12,https://images.unsplash.com/photo-1585937421612-70a008356f36?auto=format&fit=crop&w=500&q=60,"Simmer on low heat overnight for the authentic creamy texture. Smoke with charcoal if possible."
Chole Bhature,"Chickpeas,Flour,Spices,Onion,Tomato",vegetarian,180.00,main course,Punjab,spicy,400,15,50,15,https://images.unsplash.com/photo-1626074353765-5ea1d47f03f5?auto=format&fit=crop&w=500&q=60,"Add a tea bag while boiling chickpeas to get that dark, authentic color."
Malai Kofta,"Paneer,Potatoes,Cream,Tomato,Cashews",vegetarian,320.00,main course,North,rich,350,12,25,20,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Do not add koftas to the gravy while boiling. Serve gravy over koftas just before eating."
Mutton Rogan Josh,"Mutton,Yogurt,Spices,Onion",non-vegetarian,550.00,main course,Kashmir,spicy,500,35,10,35,https://images.unsplash.com/photo-1585937421612-70a008356f36?auto=format&fit=crop&w=500&q=60,"Use Ratan Jot (Alkanet root) infused oil for the signature bright red color without chili heat."
Shahi Paneer,"Paneer,Cream,Cashew Paste,Tomato Gravy",vegetarian,350.00,main course,Mughlai,rich,380,18,20,25,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Use cashew paste and saffron for the royal 'Shahi' flavor profile and creamy consistency."
Kadai Chicken,"Chicken,Bell Peppers,Onion,Kadai Masala",non-vegetarian,430.00,main course,North,spicy,420,28,15,28,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?auto=format&fit=crop&w=500&q=60,"Roast and grind coriander seeds and dry red chilies fresh for the Kadai masala."
Palak Paneer,"Spinach,Paneer,Spices,Garlic",vegetarian,290.00,main course,Punjab,savory,280,16,15,18,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Do not cover the pan after adding spinach to retain the vibrant green color."
Sarson da Saag,"Mustard Greens,Spinach,Ginger,Garlic",vegetarian,250.00,main course,Punjab,savory,200,8,20,12,https://images.unsplash.com/photo-1585937421612-70a008356f36?auto=format&fit=crop&w=500&q=60,"Add a tablespoon of cornmeal (makki atta) to thicken the saag and give it a silky texture."
Baingan Bharta,"Eggplant,Onion,Tomato,Spices",vegetarian,200.00,main course,Punjab,smoky,180,6,25,10,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Roast eggplants on an open flame until the skin chars completely for that essential smoky flavor."
Chicken Biryani,"Basmati Rice,Chicken,Spices,Yogurt,Saffron",non-vegetarian,480.00,rice,India,spicy,550,30,60,25,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?auto=format&fit=crop&w=500&q=60,"Seal the pot with dough (Dum) to trap steam and aroma for at least 20 minutes on low heat."
Vegetable Biryani,"Basmati Rice,Mixed Vegetables,Spices,Yogurt",vegetarian,260.00,rice,India,spicy,350,12,65,8,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?auto=format&fit=crop&w=500&q=60,"Fry onions until golden brown (Barista) and layer generous amounts for sweetness and crunch."
Jeera Rice,"Basmati Rice,Cumin Seeds,Ghee",vegetarian,150.00,rice,North,savory,200,5,40,5,https://images.unsplash.com/photo-1596560548464-f010549b84d7?auto=format&fit=crop&w=500&q=60,"Soak basmati rice for 30 minutes before cooking for long, separate grains."
Steamed Rice,"Basmati Rice",vegetarian,120.00,rice,India,plain,130,3,28,1,https://images.unsplash.com/photo-1596560548464-f010549b84d7?auto=format&fit=crop&w=500&q=60,"Add a few drops of lemon juice to the boiling water to keep the rice grains white and separate."
Garlic Naan,"Flour,Yogurt,Garlic,Butter",vegetarian,60.00,bread,North,savory,150,5,25,6,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Apply garlic butter immediately after taking it out of the tandoor while it's still hot."
Butter Naan,"Flour,Yogurt,Butter",vegetarian,50.00,bread,North,savory,140,4,22,6,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Rest the dough for at least 1-2 hours to ensure the naan becomes soft and fluffy."
Tandoori Roti,"Whole Wheat Flour",vegetarian,30.00,bread,Punjab,plain,100,4,20,2,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Keep the hydration of the dough high for softer rotis."
Makki di Roti,"Cornmeal Flour",vegetarian,40.00,bread,Punjab,savory,120,3,25,3,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Use hot water to knead the cornmeal dough to make it pliable and easy to flatten."
Lachha Paratha,"Whole Wheat Flour,Ghee",vegetarian,70.00,bread,North,savory,180,6,30,7,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Create as many pleats as possible and use plenty of ghee between layers for max flakiness."
Green Salad,"Cucumber,Tomato,Onion,Lemon",vegetarian,90.00,sides,India,fresh,50,2,10,1,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=500&q=60,"Keep vegetables in ice water for 15 minutes before serving for extra crunch."
Boondi Raita,"Yogurt,Gram Flour Pearls,Spices",vegetarian,110.00,sides,India,cooling,150,6,15,8,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Soak boondi in warm water for 5 minutes and squeeze before adding to yogurt to reduce oil."
Papadum,"Lentil Flour",vegetarian,40.00,sides,India,crispy,80,3,15,2,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Roast on an open flame for a smokier flavor compared to frying."
Gulab Jamun,"Milk Solids,Sugar Syrup,Cardamom",vegetarian,120.00,dessert,India,sweet,200,4,30,8,https://images.unsplash.com/photo-1583394838336-acd977736f90?auto=format&fit=crop&w=500&q=60,"Fry on very low heat so that the center cooks before the outside burns."
Gajar ka Halwa,"Carrots,Milk,Sugar,Ghee,Nuts",vegetarian,150.00,dessert,Punjab,rich,250,5,35,12,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Use red Delhi carrots (winter carrots) for the best natural sweetness and color."
Ras Malai,"Paneer Dumplings,Sweetened Milk,Saffron,Pistachios",vegetarian,160.00,dessert,India,sweet,180,6,25,7,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Squeeze the chenna balls gently after boiling but before soaking in milk to absorb flavor."
Kulfi,"Condensed Milk,Nuts,Saffron",vegetarian,130.00,dessert,India,creamy,220,6,20,12,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=500&q=60,"Reduce the milk to 1/3rd of its original volume slowly for the authentic gritty texture."
Mango Lassi,"Yogurt,Mango Pulp,Sugar,Cardamom",vegetarian,140.00,beverages,Punjab,sweet,180,4,25,6,https://images.unsplash.com/photo-1595981267035-7b04ca84a82d?auto=format&fit=crop&w=500&q=60,"Use chilled yogurt and mango pulp to avoid adding ice, which dilutes the flavor."
Sweet Lassi,"Yogurt,Sugar,Rose Water",vegetarian,120.00,beverages,Punjab,sweet,160,4,20,6,https://images.unsplash.com/photo-1595981267035-7b04ca84a82d?auto=format&fit=crop&w=500&q=60,"Whisk by hand using a wooden churner (madhani) for a frothy top layer."
Salted Lassi,"Yogurt,Salt,Cumin",vegetarian,120.00,beverages,Punjab,savory,140,4,15,6,https://images.unsplash.com/photo-1595981267035-7b04ca84a82d?auto=format&fit=crop&w=500&q=60,"Roasted cumin powder freshly ground adds a much better aroma than pre-ground cumin."
Masala Chai,"Tea Leaves,Milk,Sugar,Spices",vegetarian,50.00,beverages,India,spicy,80,2,12,3,https://images.unsplash.com/photo-1561336313-0bd5e0b27ec8?auto=format&fit=crop&w=500&q=60,"Boil ginger and spices in water first before adding milk to prevent milk from curdling."
Fresh Lime Soda,"Lime Juice,Soda,Sugar/Salt",vegetarian,80.00,beverages,India,tangy,90,1,20,0,https://images.unsplash.com/photo-1513558161293-cdaf765db2fa?auto=format&fit=crop&w=500&q=60,"Muddle a few fresh mint leaves in the glass for a refreshing twist."
Soft Drink,"Carbonated Water",vegetarian,60.00,beverages,Global,sweet,100,0,25,0,https://images.unsplash.com/photo-1554866585-cd94860890b7?auto=format&fit=crop&w=500&q=60,"Serve with a slice of lemon and plenty of ice."
